event_name,sport,category
kickoff,soccer,neutral
carry,soccer,neutral
goal_conceded,soccer,error
punch,soccer,defensive
pass,soccer,transition
ball_receipt,soccer,transition
pressure,soccer,offensive
corner,soccer,offensive
aerial_duel,soccer,defensive
pass_low,soccer,neutral
pass_high,soccer,neutral
pass_cross,soccer,offensive
pass_through_ball,soccer,offensive
pass_switch_of_play,soccer,transition
pass_long_ball,soccer,offensive
pass_cutback,soccer,defensive
pass_chipped,soccer,neutral
pass_layoff,soccer,transition
pass_flick_on,soccer,neutral
pass_one_two,soccer,offensive
pass_backheel,soccer,neutral
pass_headed,soccer,neutral
pass_thrown,soccer,neutral
pass_goal_kick_short,soccer,offensive
pass_goal_kick_long,soccer,offensive
pass_free_kick_short,soccer,offensive
pass_free_kick_long,soccer,offensive
pass_corner_short,soccer,offensive
pass_corner_cross,soccer,offensive
pass_cut_inside,soccer,neutral
pass_cut_outside,soccer,neutral
pass_in_swinging_corner,soccer,offensive
pass_out_swinging_corner,soccer,offensive
pass_deflected,soccer,error
pass_misplaced,soccer,error
pass_blocked,soccer,error
pass_assist,soccer,neutral
pass_key_pass,soccer,neutral
pass_switch,soccer,transition
pass_launch,soccer,transition
pass_clearance_try,soccer,defensive
pass_recirc,soccer,defensive
pass_penalty_box_entry,soccer,offensive
pass_final_third_entry,soccer,offensive
carry_forward,soccer,transition
carry_lateral,soccer,neutral
carry_backwards,soccer,defensive
carry_into_penalty_area,soccer,offensive
carry_into_final_third,soccer,offensive
carry_under_pressure,soccer,neutral
carry_safe,soccer,neutral
carry_long_distance,soccer,neutral
carry_break_line,soccer,offensive
carry_transition,soccer,transition
ball_receipt_clean,soccer,neutral
ball_receipt_miscontrol,soccer,error
ball_receipt_under_pressure,soccer,defensive
ball_receipt_wide,soccer,neutral
ball_receipt_central,soccer,neutral
ball_receipt_failed,soccer,error
shot_open_play,soccer,offensive
shot_fast_break,soccer,offensive
shot_counterattack,soccer,offensive
shot_volley,soccer,offensive
shot_half_volley,soccer,offensive
shot_header,soccer,offensive
shot_left_foot,soccer,offensive
shot_right_foot,soccer,offensive
shot_blocked,soccer,error
shot_saved,soccer,error
shot_off_target,soccer,error
shot_on_target,soccer,offensive
shot_hit_woodwork,soccer,error
shot_saved_to_post,soccer,error
shot_deflected,soccer,error
shot_from_cross,soccer,offensive
shot_from_corner,soccer,offensive
shot_direct_free_kick,soccer,offensive
shot_indirect_free_kick,soccer,offensive
shot_penalty,soccer,offensive
shot_follow_up,soccer,offensive
shot_scramble,soccer,defensive
shot_low_xg,soccer,offensive
shot_high_xg,soccer,offensive
shot_chipped,soccer,offensive
shot_lobbed,soccer,offensive
shot_finesse,soccer,offensive
shot_cutback_shot,soccer,offensive
dribble_successful,soccer,neutral
dribble_failed,soccer,error
dribble_nutmeg,soccer,error
dribble_past_opponent,soccer,transition
dribble_round_keeper,soccer,offensive
dribble_under_pressure,soccer,neutral
dribble_shield,soccer,defensive
dribble_into_box,soccer,offensive
duel_ground_attacking,soccer,offensive
duel_ground_defending,soccer,defensive
duel_ground_neutral,soccer,neutral
duel_aerial_won,soccer,neutral
duel_aerial_lost,soccer,error
duel_tackle_won,soccer,offensive
duel_tackle_lost,soccer,error
duel_shouldered_off_ball,soccer,error
duel_50_50,soccer,neutral
duel_recovery_duel,soccer,defensive
tackle_won,soccer,offensive
tackle_lost,soccer,error
tackle_in_box,soccer,defensive
tackle_in_final_third,soccer,offensive
tackle_clean,soccer,neutral
tackle_foul,soccer,error
interception_ground,soccer,defensive
interception_head,soccer,defensive
interception_cut_pass,soccer,defensive
interception_ball_to_player,soccer,defensive
block_shot,soccer,error
block_pass,soccer,error
block_cross,soccer,error
block_dribble,soccer,error
clearance_foot,soccer,defensive
clearance_head,soccer,defensive
clearance_chaotic,soccer,error
clearance_goal_line,soccer,defensive
defensive_header,soccer,defensive
challenge_lost,soccer,error
press_player,soccer,neutral
press_teams,soccer,offensive
press_forced_turnover,soccer,error
press_unsuccessful,soccer,error
press_successful,soccer,neutral
foul_committed,soccer,error
foul_won,soccer,offensive
foul_handball,soccer,error
foul_tactical,soccer,error
foul_hold,soccer,error
foul_pull,soccer,error
foul_elbow,soccer,error
foul_late,soccer,error
foul_reckless,soccer,error
foul_dangerous_play,soccer,error
foul_penalty_conceded,soccer,error
foul_penalty_won,soccer,defensive
offside_individual,soccer,error
offside_team,soccer,error
offside_pass_receiver,soccer,error
card_yellow,soccer,error
card_second_yellow,soccer,error
card_red,soccer,error
dissent,soccer,error
simulation,soccer,neutral
goalkeeper_save,soccer,defensive
goalkeeper_punch,soccer,defensive
goalkeeper_pickup,soccer,neutral
goalkeeper_save_dive_left,soccer,defensive
goalkeeper_save_dive_right,soccer,defensive
goalkeeper_save_standing,soccer,defensive
goalkeeper_save_reflex,soccer,defensive
goalkeeper_parry,soccer,offensive
goalkeeper_smothers_ball,soccer,defensive
goalkeeper_sweeper_clearance,soccer,offensive
goalkeeper_claim,soccer,neutral
goalkeeper_cross_claim,soccer,neutral
goalkeeper_catch,soccer,defensive
goalkeeper_deflection,soccer,defensive
goalkeeper_error,soccer,error
goalkeeper_distribution_throw,soccer,transition
goalkeeper_distribution_kick,soccer,transition
goalkeeper_distribution_dropkick,soccer,transition
corner_short,soccer,transition
corner_cross,soccer,offensive
corner_in_swinging,soccer,offensive
corner_out_swinging,soccer,offensive
corner_tapped,soccer,offensive
free_kick_direct,soccer,offensive
free_kick_indirect,soccer,transition
free_kick_cross,soccer,offensive
free_kick_shot,soccer,offensive
throw_in_short,soccer,transition
throw_in_long,soccer,transition
goal_kick_short,soccer,transition
goal_kick_long,soccer,offensive
kickoff_start,soccer,neutral
kickoff_restart,soccer,neutral
dropped_ball,soccer,error
counterattack_start,soccer,offensive
counterattack_end,soccer,neutral
transition_attack,soccer,offensive
transition_defense,soccer,defensive
regain_possession,soccer,defensive
lose_possession,soccer,error
counterpress,soccer,offensive
counterpress_regain,soccer,offensive
regroup_phase,soccer,defensive
error_leading_to_shot,soccer,offensive
error_leading_to_goal,soccer,offensive
error_bad_touch,soccer,error
error_miscontrol,soccer,error
error_poor_pass,soccer,error
error_failed_clearance,soccer,error
goalkeeper_error_loss,soccer,error
defender_error_loss,soccer,error
midfield_error_loss,soccer,error
ball_recovery,soccer,defensive
ball_recovery_head,soccer,defensive
ball_recovery_feet,soccer,defensive
loose_ball_duel,soccer,error
loose_ball_won,soccer,offensive
loose_ball_lost,soccer,error
substitution_on,soccer,neutral
substitution_off,soccer,neutral
half_start,soccer,neutral
half_end,soccer,neutral
referee_drop_ball,soccer,neutral
injury_stoppage,soccer,error
cooling_break,soccer,neutral
var_review_start,soccer,neutral
var_review_end,soccer,neutral
dribbled_past,soccer,transition
shield,soccer,defensive
fifty_fifty,soccer,neutral
ball_out_of_play,soccer,error
miscontrol_high_ball,soccer,error
miscontrol_ground_ball,soccer,error
dispossessed_in_defensive_third,soccer,error
dispossessed_in_final_third,soccer,error
goalkeeper_punch_clear,soccer,defensive
