Sport,Event,,Category,Category List:
Soccer,Kickoff,,Neutral,Offensive
Soccer,Carry,,Neutral,Defensive
Soccer,Goal Conceded,,Error,Error/Mistake
Soccer,Punch,,Defensive,Transition
Soccer,Pass,,Transition,Neutral
Soccer,Ball Receipt,,Transition,
Soccer,Pressure,,Offensive,
Soccer,Corner,,Offensive,
Soccer,Aerial Duel,,Defensive,
Soccer,pass_low,,Neutral,
Soccer,pass_high,,Neutral,
Soccer,pass_cross,,Offensive,
Soccer,pass_through_ball,,Offensive,
Soccer,pass_switch_of_play,,Transition,
Soccer,pass_long_ball,,Offensive,
Soccer,pass_cutback,,Defensive,
Soccer,pass_chipped,,Neutral,
Soccer,pass_layoff,,Transition,
Soccer,pass_flick_on,,Neutral,
Soccer,pass_one_two,,Offensive,
Soccer,pass_backheel,,Neutral,
Soccer,pass_headed,,Neutral,
Soccer,pass_thrown,,Neutral,
Soccer,pass_goal_kick_short,,Offensive,
Soccer,pass_goal_kick_long,,Offensive,
Soccer,pass_free_kick_short,,Offensive,
Soccer,pass_free_kick_long,,Offensive,
Soccer,pass_corner_short,,Offensive,
Soccer,pass_corner_cross,,Offensive,
Soccer,pass_cut_inside,,Neutral,
Soccer,pass_cut_outside,,Neutral,
Soccer,pass_in_swinging_corner,,Offensive,
Soccer,pass_out_swinging_corner,,Offensive,
Soccer,pass_deflected,,Error,
Soccer,pass_misplaced,,Error,
Soccer,pass_blocked,,Error,
Soccer,pass_assist,,Neutral,
Soccer,pass_key_pass,,Neutral,
Soccer,pass_switch,,Transition,
Soccer,pass_launch,,Transition,
Soccer,pass_clearance_try,,Defensive,
Soccer,pass_recirc,,Defensive,
Soccer,pass_penalty_box_entry,,Offensive,
Soccer,pass_final_third_entry,,Offensive,
Soccer,carry_forward,,Transition,
Soccer,carry_lateral,,Neutral,
Soccer,carry_backwards,,Defensive,
Soccer,carry_into_penalty_area,,Offensive,
Soccer,carry_into_final_third,,Offensive,
Soccer,carry_under_pressure,,Neutral,
Soccer,carry_safe,,Neutral,
Soccer,carry_long_distance,,Neutral,
Soccer,carry_break_line,,Offensive,
Soccer,carry_transition,,Transition,
Soccer,ball_receipt_clean,,Neutral,
Soccer,ball_receipt_miscontrol,,Error,
Soccer,ball_receipt_under_pressure,,Defensive,
Soccer,ball_receipt_wide,,Neutral,
Soccer,ball_receipt_central,,Neutral,
Soccer,ball_receipt_failed,,Error,
Soccer,shot_open_play,,Offensive,
Soccer,shot_fast_break,,Offensive,
Soccer,shot_counterattack,,Offensive,
Soccer,shot_volley,,Offensive,
Soccer,shot_half_volley,,Offensive,
Soccer,shot_header,,Offensive,
Soccer,shot_left_foot,,Offensive,
Soccer,shot_right_foot,,Offensive,
Soccer,shot_blocked,,Error,
Soccer,shot_saved,,Error,
Soccer,shot_off_target,,Error,
Soccer,shot_on_target,,Offensive,
Soccer,shot_hit_woodwork,,Error,
Soccer,shot_saved_to_post,,Error,
Soccer,shot_deflected,,Error,
Soccer,shot_from_cross,,Offensive,
Soccer,shot_from_corner,,Offensive,
Soccer,shot_direct_free_kick,,Offensive,
Soccer,shot_indirect_free_kick,,Offensive,
Soccer,shot_penalty,,Offensive,
Soccer,shot_follow_up,,Offensive,
Soccer,shot_scramble,,Defensive,
Soccer,shot_low_xg,,Offensive,
Soccer,shot_high_xg,,Offensive,
Soccer,shot_chipped,,Offensive,
Soccer,shot_lobbed,,Offensive,
Soccer,shot_finesse,,Offensive,
Soccer,shot_cutback_shot,,Offensive,
Soccer,dribble_successful,,Neutral,
Soccer,dribble_failed,,Error,
Soccer,dribble_nutmeg,,Error,
Soccer,dribble_past_opponent,,Transition,
Soccer,dribble_round_keeper,,Offensive,
Soccer,dribble_under_pressure,,Neutral,
Soccer,dribble_shield,,Defensive,
Soccer,dribble_into_box,,Offensive,
Soccer,duel_ground_attacking,,Offensive,
Soccer,duel_ground_defending,,Defensive,
Soccer,duel_ground_neutral,,Neutral,
Soccer,duel_aerial_won,,Neutral,
Soccer,duel_aerial_lost,,Error,
Soccer,duel_tackle_won,,Offensive,
Soccer,duel_tackle_lost,,Error,
Soccer,duel_shouldered_off_ball,,Error,
Soccer,duel_50_50,,Neutral,
Soccer,duel_recovery_duel,,Defensive,
Soccer,tackle_won,,Offensive,
Soccer,tackle_lost,,Error,
Soccer,tackle_in_box,,Defensive,
Soccer,tackle_in_final_third,,Offensive,
Soccer,tackle_clean,,Neutral,
Soccer,tackle_foul,,Error,
Soccer,interception_ground,,Defensive,
Soccer,interception_head,,Defensive,
Soccer,interception_cut_pass,,Defensive,
Soccer,interception_ball_to_player,,Defensive,
Soccer,block_shot,,Error,
Soccer,block_pass,,Error,
Soccer,block_cross,,Error,
Soccer,block_dribble,,Error,
Soccer,clearance_foot,,Defensive,
Soccer,clearance_head,,Defensive,
Soccer,clearance_chaotic,,Error,
Soccer,clearance_goal_line,,Defensive,
Soccer,defensive_header,,Defensive,
Soccer,challenge_lost,,Error,
Soccer,press_player,,Neutral,
Soccer,press_teams,,Offensive,
Soccer,press_forced_turnover,,Error,
Soccer,press_unsuccessful,,Error,
Soccer,press_successful,,Neutral,
Soccer,foul_committed,,Error,
Soccer,foul_won,,Offensive,
Soccer,foul_handball,,Error,
Soccer,foul_tactical,,Error,
Soccer,foul_hold,,Error,
Soccer,foul_pull,,Error,
Soccer,foul_elbow,,Error,
Soccer,foul_late,,Error,
Soccer,foul_reckless,,Error,
Soccer,foul_dangerous_play,,Error,
Soccer,foul_penalty_conceded,,Error,
Soccer,foul_penalty_won,,Defensive,
Soccer,offside_individual,,Error,
Soccer,offside_team,,Error,
Soccer,offside_pass_receiver,,Error,
Soccer,card_yellow,,Error,
Soccer,card_second_yellow,,Error,
Soccer,card_red,,Error,
Soccer,dissent,,Error,
Soccer,simulation,,Neutral,
Soccer,goalkeeper_save,,Defensive,
Soccer,goalkeeper_punch,,Defensive,
Soccer,goalkeeper_pickup,,Neutral,
Soccer,goalkeeper_save_dive_left,,Defensive,
Soccer,goalkeeper_save_dive_right,,Defensive,
Soccer,goalkeeper_save_standing,,Defensive,
Soccer,goalkeeper_save_reflex,,Defensive,
Soccer,goalkeeper_parry,,Offensive,
Soccer,goalkeeper_smothers_ball,,Defensive,
Soccer,goalkeeper_sweeper_clearance,,Offensive,
Soccer,goalkeeper_claim,,Neutral,
Soccer,goalkeeper_cross_claim,,Neutral,
Soccer,goalkeeper_catch,,Defensive,
Soccer,goalkeeper_deflection,,Defensive,
Soccer,goalkeeper_error,,Error,
