Sport,Event,Category,,Category List:
Tennis,ace,Offensive,,Offensive
Tennis,winning_shot,Offensive,,Defensive
Tennis,retrieved,Defensive,,Error
Tennis,double_fault,Error,,Transition
Tennis,code_violation,Error,,Neutral
Tennis,ball_abuse,Error,,
Tennis,aggresive_conduct,Error,,
Tennis,conduct_default,Error,,
Tennis,let,Neutral,,
Tennis,semifinals,Neutral,,
Tennis,main_draw,Neutral,,
Tennis,qualifying,Neutral,,
Tennis,tie_break,Neutral,,
Tennis,retirement,Error,,
Tennis,withdraws,Error,,
Tennis,defaulted,Error,,
Tennis,late_withdrawal,Error,,
Tennis,warm_up,Neutral,,
Tennis,set,Neutral,,
Tennis,match,Neutral,,
Tennis,forehand_winner,Offensive,,
Tennis,backhand_winner,Offensive,,
Tennis,inside_out_forehand,Offensive,,
Tennis,inside_in_forehand,Offensive,,
Tennis,overhead_smash,Offensive,,
Tennis,volley_winner,Offensive,,
Tennis,half_volley,Defensive,,
Tennis,serve_winner,Offensive,,
Tennis,drop_shot_winner,Offensive,,
Tennis,passing_shot,Offensive,,
Tennis,approach_shot_winner,Offensive,,
Tennis,aggresive_return,Offensive,,
Tennis,body_serve,Offensive,,
Tennis,defensive_slice,Defensive,,
Tennis,defensive_lob,Defensive,,
Tennis,moonball,Defensive,,
Tennis,blocked_return,Defensive,,
Tennis,chip_return,Defensive,,
Tennis,stretch_forehand,Defensive,,
Tennis,stretch_backhand,Defensive,,
Tennis,running_defensive_shot,Defensive,,
Tennis,flick_defensive_shot,Defensive,,
Tennis,squash_shot,Defensive,,
Tennis,unforced_error,Error,,
Tennis,forced_error,Error,,
Tennis,mishit,Error,,
Tennis,shank,Error,,
Tennis,netted_shot,Error,,
Tennis,wide_shot,Error,,
Tennis,frame_shot,Error,,
Tennis,first_serve_fault,Error,,
Tennis,second_serve_fault,Error,,
Tennis,foot_fault,Error,,
Tennis,approach_shot,Transition,,
Tennis,drop_shot,Transition,,
Tennis,slice_approach_shot,Transition,,
Tennis,serve_and_volley,Transition,,
Tennis,chip_and_charge,Transition,,
Tennis,forehand,Neutral,,
Tennis,backhand,Neutral,,
Tennis,top_spin,Neutral,,
Tennis,return,Neutral,,
Tennis,slice,Neutral,,
Tennis,volley,Neutral,,
Tennis,kick_serve,Offensive,,
Tennis,flat_serve,Offensive,,
Tennis,slice_serve,Offensive,,
Tennis,crosscourt_shot,Offensive,,
